strategy,seed,time_to_first_defect,defects_within_budget,total_duration,ordered_tests
composite,12,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,13,1.0,1,5.1,"motor_over_temp,startup,reverse_drive,drive_nominal,regen_soc,low_soc_fault"
shortest_processing_time,13,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,13,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,13,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,14,1.7000000000000002,2,5.1,"regen_soc,low_soc_fault,motor_over_temp,drive_nominal,reverse_drive,startup"
shortest_processing_time,14,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,14,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,14,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,15,1.7000000000000002,2,5.1,"regen_soc,low_soc_fault,motor_over_temp,reverse_drive,startup,drive_nominal"
shortest_processing_time,15,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,15,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,15,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,16,4.3,0,5.1,"startup,regen_soc,drive_nominal,reverse_drive,motor_over_temp,low_soc_fault"
shortest_processing_time,16,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,16,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,16,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,17,3.3999999999999995,0,5.1,"startup,regen_soc,drive_nominal,low_soc_fault,motor_over_temp,reverse_drive"
shortest_processing_time,17,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,17,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,17,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,18,0.8,1,5.1,"low_soc_fault,reverse_drive,regen_soc,motor_over_temp,startup,drive_nominal"
shortest_processing_time,18,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,18,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,18,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,19,2.2,2,5.1,"drive_nominal,motor_over_temp,low_soc_fault,reverse_drive,startup,regen_soc"
shortest_processing_time,19,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,19,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,19,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,20,2.2,2,5.1,"reverse_drive,startup,motor_over_temp,low_soc_fault,drive_nominal,regen_soc"
shortest_processing_time,20,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,20,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,20,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
